product_reference,quantity,serial_number,emplacement_code,unit_price,note
ONT-GPON-V5,100,SN-BATCH-2024-JAN-001,ENTREPOT,45000,Q1 initial stock - supplier A
OLT-FIBER-X2,25,,ENTREPOT,250000,Network equipment - month 1
SPLITTER-1X8,50,BATCH-SPLITTER-2024,MAGASIN,5000,Optical splitters batch
MODEM-DOCSIS,200,,ENTREPOT,35000,DOCSIS 3.1 modems bulk order
ROUTER-5G,75,SN-ROUTER-2024-001,MAGASIN,180000,5G routers initial stock
FIBER-CABLE-500M,100,,ENTREPOT,2500,500m fiber spools
CONNECTOR-FC,500,,ENTREPOT,150,FC connectors bulk
ONT-GPON-V5,50,SN-REPLACEMENT-001,ATELIER,45000,Replacement units for failed equipment
TRANSCEIVER-GPON,30,,ENTREPOT,85000,GPON transceivers
POWER-SUPPLY-48V,100,,ENTREPOT,12000,48V power supplies for ONT
PATCH-PANEL-24,20,PANEL-BATCH-001,MAGASIN,8000,24-port patch panels
BATTERY-BACKUP-1KVA,15,,ENTREPOT,120000,UPS 1KVA for critical sites
TEST-KIT-GPON,5,TEST-KIT-001,ATELIER,45000,GPON test equipment
